"ID","Text","Author"
"1","autorius žodis po ilgas svyravimas šis knyga autorius pagaliau ryžtis parašyti tas , kas jis rūpėti jau nuo daugel metai .","Putinas"
"2","jis žinoti , kad leisti šis knyga , susilaukti daug priekaistų iš tas luomas , kuris gyvenimas kampelis čia pabandyti praskleisti .","Putinas"
"3","šitas luomas , dėl visai suprasti priežastis , bodamas labai negu kitas savęs prestižas ir autoritetas , ypačiai jautriai reaguoti į kiekvienas pasikėsinimas parodyti intymus kasdienis , pasakyti , grynai žmogiškas jis gyvenimas vaizdas .","Putinas"
"4","jis dar sutikti būti piešti , o gal apsiimti ir papozuoti kilnus , šventadieniškoj ir pareiginis poza , bet kasdieniškai - niekados .","Putinas"
"5","tačiau literatūra , siekti pilnas gyvenimas vaizdas ir norėti atkurti žmogus arba žmogus grupė ne tik išeiginis veidas , bet ir tamsus dvasia užkampes , nenorėti pripažinti joks privilegija nei atskiras individas , nei grupė , nei luomas .","Putinas"
"6","nenorėti toks privilegija pripažinti , tarnauti literatūra , nė šis knyga autorius .","Putinas"
"7","šitas autorius nusistatymas dar labai stiprėti , kai iš bendras sumetimas jis eiti į konkretus lietuvis visuomenė ir literatūra klausimas .","Putinas"
"8","Lietuva kunigija - nes apie jis čia kalbėti - labai negu kuris kitas būti susipinti su visuomenė gyvenimas ir jis įvairus reikalas ir dėl tas labai negu kur kitur sukasdienėjusi .","Putinas"
"9","Lietuva kunigas būti ir ūkininkas , ir kooperatininkas , ir finansininkas , ir politikas , ir diplomatas , ir ministeris , ir gydytojas , ir dievas žinoti dar kas .","Putinas"
"10","jis agituoti mitingas - jis ir šiandien dar aktyviai dalyvauti politinis partija rietena .","Putinas"
"11","Lietuva kunigas būti taip pat ir literatas : kartais apysakininkas , bet dažnai poetas .","Putinas"
"12","jis kūryba gana įvairus , ne visumet dvasiškas , bet visumet su specifiškas atspalvis , taip pat kaip ir visas jis veikimas visuomenė .","Putinas"
"13","Lietuva kunigas , labai dažnai varu atvaryti į seminarija , o kartais įstoti ten per nesusipratimas , vilioti svetimas idealas , surinkti savęs visokeriopas gabumas ir talentas .","Putinas"
"14","ar jis juosėti auklėti , ar žudyti ?","Putinas"
"15","ar jis jis derintis , ar pjautis ?","Putinas"
"16","ar kunigiškas jis charakteris jis stiprinti , ar skaldyti ?","Putinas"
"17","kas maitinti lig šiolei Lietuva kunigas idealizmas ir koks tas idealizmas ?","Putinas"
"18","kaip eiti vyresnis tiesioginis kunigas idealas realizavimas Lietuva bažnyčia ?","Putinas"
"19","kas kartas nuo kartas pastumti vienas kitas gabus Lietuva kunigas mesti kunigavimas , kaip jis prie tas prieiti ir koks jis likimas ?","Putinas"
"20","štai visas eilė visuomeninis , religinis ir psichologinis problema , kuris pravartus pasirodyti ir dailus literatūra .","Putinas"
"21","šis knyga autorius jau nuo daugelis metai ypatingai knietė du klausimas : 1 ) kunigavimas ir poezija kūryba santykis , 2 ) nukunigėjimas , arba ekskunigo problema .","Putinas"
"22","autorius nuomonė , šis du klausimas tebūti du iš daugelis konkretus priėjimas prie tas abstraktiškos mįslė , kuris paprastai vadinti pašaukimas .","Putinas"
"23","šitas ir sudaryti jis knyga idėjinis pagrindas .","Putinas"
"24","tačiau rašyti jis , autorius nenorėti niekas įrodinėti ; jis norėti tik kai ką parodyti , kai ką paaiškinti .","Putinas"
"25","jis žinoti taip pat , kad jis romanas vyresnis personažas nebūti tipiškas , kad jis tebūti iš atskiras grupė išsiskirti individas , o gal ir išimtis ; autorius sutikti jis laikyti ir tūleriopo negalavimas simptomas .","Putinas"
"26","bet ar ne išimtis gyvenimas dažnai aš kliudyti ?","Putinas"
"27","ar ne iš išimtis gerai suprasti dėsnis , ar ne iš simptomas pažinti liga ?","Putinas"
"28","be tas , ir grynai meniškas sumetimas palenkti autorius imti savęs veikalas medžiaga iš dvasiškis luomas .","Putinas"
"29","kaip tapytojas ieškoti savęs paveikslas jis kūrybinis pajėgumas žadinti modelis , įdomus veidas ir peizažas , taip lygiai ir apysakininkas rinktis atkurti toks gyvenimas ir toks žmogus , kuris duoti jis įdomus situacija , įspūdingas konfliktas ir drąsus galimybė .","Putinas"
"30","Tokis ir būti kunigas gyvenimas .","Putinas"
"31","čia kiekvienas širdis pajudėjimq , kiekvienas sąžinė refleksas , kiekvienas pagaliau veiksmas vertinti daug griežtas dėsnis , dievas vardas uždėti , o žmogus sankcionuoti .","Putinas"
"32","autorius butas laimingas , jeigu šis sumetimas jis knyga bent iš dalis pateisinti .","Putinas"
"33","Nica , 1931 m. kalėda","Putinas"
"34","bandymas diena devyni kietas , plieninis skambalas smūgis pažadinti Liudas Vasaris iš miegas .","Putinas"
"35","krūptelėti jis atmerkti akis ir valandėlė negalėti susivokti kame būti .","Putinas"
"36","būti lygiai 5 valanda šaltas rudeninis rytas .","Putinas"
"37","pro langas sroventi šėmas , ūkanotas priešsaulėtekis šviesa .","Putinas"
"38","siauras , bet nuostabiai ilgas kambarys skendėti dar šešėlis .","Putinas"
"39","tačiau Liudas kaimynas , taip pat kaip ir jis pažadinti negailestingas skambalas , jau spurdėti kiekvienas prie savęs lova , ir netrukus subarškėti metalinis didžiulis prausykla kranas .","Putinas"
"40","ak , juk tas seminarija !","Putinas"
"41","tas jis , naujokas pirmametis , 17 kambarys , vadinti "" labirintas "" , kuris jis ir tilpti taip pat apie septyniolika .","Putinas"
"42","Liudas dar tebekovoti su paskutinis nutraukti miegas antplūdis , bet jis artimas kaimynas Jonas variokas , kuris paprastai pamesti lova vienas iš paskutiniųjų , jau būti pakilti ir praeiti negailestingai nuplėšyti nuo jis antklodė .","Putinas"
"43","vasaris šokas iš lova ir imti paskubomis rengtis .","Putinas"
"44","staiga jis atsiminti , kad šiandien ir diena nepaprastas .","Putinas"
"45","šiandien štai jis baigti ilgas , 5 diena rekolekcijos ir pirmas kartas užsivilkti sutana .","Putinas"
"46","šitas mintis nuverti Liudas Vasaris nuo galva iki koja , ir jis pasijusti pagauti iškilmingas tas rytas nuotaika , taip pat kaip ir kitas jis draugas .","Putinas"
"47","tuo tarpu visas jis rengtis dar trumpas , gimnazistiškas savęs drabužis , nes sutana apsivilkti tiktai po meditacija , eiti klausyti šventas mišios ir pirmas kartas po rekolekcijos priimti šventoji komunija .","Putinas"
"48","greit nusiprausti ir apsitaisyti , Liudas Vasaris , drauge su kitas skubus , sprukti į sodas per keli likti iki skambutis minutė atsigauti tyras oras ir galutinai nusiblaškyti miegas .","Putinas"
"49","jis , dar tik pora savaitė išbūti šitas mūras , jau suspėti prisitaikyti prie seminarija gyvenimas tempas ir tapti vienas ratelis tas didžiulis mechanizmas , kur visas gyvenimas skirstyti laikrodis rodyklė ir kietas negailestingas skambalas garsas .","Putinas"
"50","mokslas metas , paprastas diena , penktas valanda devyni skambalas smūgis kelti jis iš miegas .","Putinas"
"51","po pusvalandis 3 skambalas smūgis šaukti jis į koplyčia rytmetinis malda ir meditacija .","Putinas"
"52","pusiau septintas valanda skambinti mišios .","Putinas"
"53","iki aštuntas jis turėti pavalgyti pusrytis ir dar kartas atlankyti Sanctissimum .","Putinas"
"54","nuo 8 iki 12 kas valanda 3 skambalas smūgis apreikšti pamoka pradžia ir galas .","Putinas"
"55","12 valanda jis eiti į koplyčia trumpai malda ir sąžinė apyskaita - Examen conscientiae .","Putinas"
"56","po 15 minutė skambinti pietūs .","Putinas"
"57","po pietūs jis vėl lankyti Sanctissimum .","Putinas"
"58","iki 2 valanda būti laisvas laikas - rekreacija .","Putinas"
"59","antras valanda vienas skambalas smūgis pranešti silentium , kuris trukti iki 4 valanda ir būti skirti darbas .","Putinas"
"60","4 valanda 5 skambalas smūgis vėl juosėti paleisti pertrauka , o po pusvalandis tas pas skambalas sušaukti darbas .","Putinas"
"61","6 valanda 3 skambalas smūgis varyti jis į didis auditorija , kur rektorius jis duoti geras kunigas elgesys pamoka , dažnai jis skaityti iš tam tikras vadovėlis , o kartais išbarti už pastebėti kolektyvus nusikaltimas ir blogas elgesys .","Putinas"
"62","šis pamoka dažnai pakeisti koplyčia ir ražančius .","Putinas"
"63","pusiau septintas valanda 5 skambalas smūgis šaukti jis vakarienė .","Putinas"
"64","pavalgyti lankymas šventas ir rekreacija - pusė valanda žiema metas bendras salė , o pavasaris metas , kol dar šviesus , sodas .","Putinas"
"65","7 valanda 3 skambalas smūgis šaukti jis į koplyčia vakarinis malda ir sąžinė perkratymas .","Putinas"
"66","čia pat dvasia tėvas paskaityti ryt rytas meditacija punktas .","Putinas"
"67","po vakarinis malda ligi 9 valanda būti sacrosanctum silentium , didelis susikaupimas laikas , skirti dvasia skaitymas ir darbas .","Putinas"
"68","devintas valanda 9 skambalas smūgis pranešti darbas diena galas .","Putinas"
"69","tada jis dar kartas trumpai lankyti šventas ir eiti gulti .","Putinas"
"70","prieš užmiegoti seminarija regula ir dvasinis gyvenimas vadovas jis būti patarti prisiminti rytdieninės meditacija turinys , kuris būti girdėti koplyčia .","Putinas"
"71","tas geležinis dienotvarkė turėti šioks toks variantas .","Putinas"
"72","ne mokslas diena ir šventadienis jis keltis 6 valanda , 11 val.","Putinas"
"73","skambalas šaukti jis į katedra suma , o 4 val.","Putinas"
"74","mišparai .","Putinas"
"75","adventas metas jis eiti į ankstyvas rarotas , o gavėnia - į be galo ilgas graudus verksmas , kuris giedoti kartu su visas bažnyčia .","Putinas"
"76","didis šventė - kalėda , Velykos , Sekminės , dievas kūnas oktava - atnešti dar naujas pareigos .","Putinas"
"77","ketvirtadienis , tuoj po pietūs , iki 5 val.","Putinas"
"78","jis vesti visas kartu pasivaikščioti už miestas plentas arba į miškelis .","Putinas"
"79","pietūs tas diena duoti kopūstas .","Putinas"
"80","šeštadienis jis eiti išpažintis , o po vakarinis malda būti dvasia tėvas konferencija .","Putinas"
"81","kiekvienas mėnuo pradžia jis laikyti vienas diena rekolekcijos , o pradžia ir pabaiga mokslas metai , gavėnia ir prieš šventimas rekolekcijos trukti 3 - 5 diena .","Putinas"
"82","Liudas Vasaris , vos pora savaitė išbūti seminarija , visas tas režimas dar nepatirti , bet per tas laikas jau visai priprasti prie skambalas balsas ir , išgirsti jis , kilti ir plaukti su visas srovė išsilieti į koridorius klierikas ten , kur tas balsas šaukti .","Putinas"
"83","lig šiol jis negalėti priprasti tik kelti iš miegas , ir tas ankstybas skambalas balsas jis vis dar būti kaip ir koks netikėtas nelauktas smūgis , nutraukti smagus jis miegas dalis .","Putinas"
"84","ypač pirmas diena jis keltis nenoromis , iš lengvas svaigti galva ir per rytmetinis meditacija neužmigti tik dėl tas , kad jaustis būti naujokas .","Putinas"
"85","Liudas jau antras kartas būti bežingsniuojąs aplink didokas seminarija sodas , kai 3 skambalas smūgis pasukti jis atgal , ir jis drauge su kitas tekintis leistis į koplyčia , kad nepasivėlinti poteris .","Putinas"
"86","koplyčia kiekvienas kursas turėti savęs vieta , ir kiekvienas klierikas žinoti , į kuris suolas jis reikėti eiti .","Putinas"
"87","vasaris alfabetiškas vieta būti paskutinis suolas .","Putinas"
"88","koplyčia būti menkai apšviesti ūkanotas , pro grotuotas langas besiskverbti ruduo rytas ir du žvakė : vienas prie dvasia tėvas ir vienas prie skaityti malda klierikas klaupkos .","Putinas"
"89","prieš altorius raudonas taurelė silpnai mirgėti aliejinė lempa .","Putinas"
"90","šitas koplyčia iš pirmas diena padaryti Liudas Vasaris neišdildyti įspūdis .","Putinas"
"91","visados švariai laikyti , tylėti ir paslaptingas , jis su savęs apvalyti suskliausti lubos , su mažutis altorius , su suolas eilė , su klausykla ir vargonai būti tikras visas seminarija gyvenimas širdis .","Putinas"
"92","į jis kuone 10 kartas per diena įplaukti ir išplaukti tas gyvenimas nepažinti , bet gyvenimas gydyti besirengti jaunuolis banga .","Putinas"
"93","ir tik jis būti priežastis ir pateisinimas tas kietas gyvenimas , kuris jis tas mūras leisti , išsižadėti savęs laisvė , jaunatvė ir visas pasaulis vilionė .","Putinas"
"94","Liudas Vasaris iš pirmas diena ypač į akis kristi ant išgaubtas koplyčia siena iš abu pusė nupiešti šv.","Putinas"
"95","Aloyzas Gonzagos ir šv.","Putinas"
"96","Stanislovas Kostkos didis už natūralus dydis paveikslas .","Putinas"
"97","tas būti dvasiškas jaunuomenė , klierikas šventasis globėjas .","Putinas"
"98","ir tylus diena valanda , kuomet koplyčia būti tuščias , ir svirduliuoti žvakė šviesa , kada jis būti pilnutėlis dvasiškas pratimas atlikinėti sutonuotų jaunuolis , tas du keistai išlinkti šventasis su sutana ir kamžomis , nekaltas veidas ir aureolė apsupti galva , būti apgaubti kažkas nesuprantamas , mistiškas , paslaptingas .","Putinas"
"99","Liudas Vasaris , įsižiūrėti į tas didžiulis paveikslas visados pajusti gilus pagarba , bet taip pat ir prietaringas baimė jausmas .","Putinas"
"100","jis dažnai įsivaizduoti , kaip tas būti baisus , jeigu reikti jis nakčia vienas pasilikti šitas apytamsis koplyčia , tas du didelis , nebylus , šventas jaunuolis draugystė .","Putinas"
"101","mėgti savęs jaudinti toks vaizdas , jis tarsi jausti , koks didelis dvasia sukrėtimas tekti jis ilgainiui patirti šitas pati koplyčia , tas pats šventasis akivaizda .","Putinas"
"102","ir jau daugelis metai praslinkti , kada Liudas Vasaris gyvenimas pakrypti visai kitas vėžė , šitas koplyčia ir šitas šventasis kartas nuo kartas rodytis jis sapnas , priminti naivus , tyras jaunatvė pasišventimas ir idealizmas .","Putinas"
"103","visas malda tada seminarija skaityti lotyniškai su lenkiškas įterpimas , o meditacija punktas lenkiškai konferencija taip pat sakyti lenkiškai .","Putinas"
"104","Liudas nei tas malda , nei tas konferencija iš pradžia nesuprasti .","Putinas"
"105","dėl tas šis pirmas rekolekcijos jis , aspirantas lietuvis , būti daug laisvas mąstymas ir svarstymas laikas , negu tikras rekolekcijos .","Putinas"
"106","tiktai vienas konferencija dvasia tėvas jis pasakyti lietuviškai .","Putinas"
"107","šitas konferencija jis išdėstyti kunigas pašaukimas kilnumas ir motyvas , kuris juosėti galėti patraukti į seminarija siena .","Putinas"
"108","motyvas ?","Putinas"
"109","tada Liudas Vasaris jis galva sau daug nekvaršinti .","Putinas"
