"ID","Text","Author"
"1","autoriaus žodis ilgus svyravimas knyga autorius ryžtis parašytas rūpėti daugel metas","Putinas"
"2","žinoti leisdamas knyga susilaukti daug priekaistų luomas gyvenimas kampelis čia pabandyti praskleistas","Putinas"
"3","luomas visai suprantamas priežastis bodamas labas prestižas autoritetas ypačiai jautrus reaguoti pasikėsinimas parodytis intymus kasdienis pasakyti grynas žmogiškas gyvenimas vaizdas","Putinas"
"4","sutikti būti piešiamas apsiimtų papozuoti kilnioj šventadieniškoj pareiginėj pozoj kasdieniškas niekados","Putinas"
"5","literatūra siekdama pilnas gyvenimas vaizdas norėdama atkurtas žmogus žmogus grupė išeiginį veidas tamsus dvasus užkampes nenorti pripažintas privilegija atskiriem individam grupėm luomam","Putinas"
"6","nenorėtas privilegija pripažintas tarnaudamas literatūra knyga autorius","Putinas"
"7","autorius nusistatymas labas stiprėti bendras sumetimas eiti konkretus lietuvė visuomenės literatūra klausimas","Putinas"
"8","lietuvos kunigija čia kalbamas labas būti susipynusi visuomenės gyvenimas įvairus reikalas labas kitur sukasdienėjusi","Putinas"
"9","lietuvos kunigas būti ūkininkas kooperatininkas finansininkas politikas diplomatas ministeris gydytoja dievas žinti","Putinas"
"10","agituoti mitingas šiandien aktyviai dalyvauti politinių partija rietenose","Putinas"
"11","lietuvos kunigas būti literatas kartas2 apysakininkas dažnas poetas","Putinas"
"12","kūryba įvairus visumet dvasiška visumet specifišku atspalvis veikimas visuomenėj","Putinas"
"13","lietuvos kunigas labas dažnas varus atvarytas seminarija kartas2 įstojęs ten nesusipratimas viliojamas svetimas idealus surinkti visokeriopų gabumas talentas","Putinas"
"14","auklėti žudyti","Putinas"
"15","derintis pjovėsi","Putinas"
"16","kunigišką charakteris stiprinti skaldyti","Putinas"
"17","maitinti šiolei lietuvos kunigas idealizmas idealizmas","Putinas"
"18","eiti vyrus tiesioginis kunigas idealas realizavimas lietuvos bažnyčia","Putinas"
"19","kartas2 kartas2 pastumi vienų gabus lietuvos kunigas mesti kunigavimą prieiti likimas","Putinas"
"20","eilė visuomeninių religinis psichologinis problema kuriom pravartus pasirodytas dailiojoje literatūra","Putinas"
"21","knyga autorius daugelis metas ypatingas knietė du klausimas 1 kunigavimo poezija kūryba santykis 2 nukunigėjimas ekskunigo problema","Putinas"
"22","autorius nuomonė du klausimas tebūti du daugelis konkrečia priėjimų abstraktiškos mįslė paprastas vadinamas pašaukimas","Putinas"
"23","sudaryti knyga idėjinis pagrindas","Putinas"
"24","rašydamas autorius nenorėjo niekas įrodinėtas norėti ką parodytis ką paaiškintas","Putinas"
"25","žinoti romanas vyrus personažas nebūti tipiškas tebūti atskiras grupė išsiskirią individas išimtis autorius sutikti laikyti tūleriopo negalavimas simptomas","Putinas"
"26","išimtis gyvenimas dažnas kliudyti","Putinas"
"27","išimtis geras suprasti dėsnis simptomas pažinti liga","Putinas"
"28","grynas meniškas sumetimas palenkti autorius imti veikalui medžiaga dvasiškių luomas","Putinas"
"29","tapytoja ieškoti paveikslam kūrybinis pajėgumas žadinančių modelė įdomus veidas peizažas lygus apysakininkas rinktis atkurtas gyvenimas žmogus duotas įdomus situacija įspūdingas konfliktas drąsus galimybė","Putinas"
"30","tokis būti kunigas gyvenimas","Putinas"
"31","čia širdis pajudėjimq sąžinė refleksas veiksmas vertinti daug griežtas dėsnis dievas vardas uždėtas žmogus sankcionuotas","Putinas"
"32","autorius butas laimingas sumetimus knyga dalis pateisinti","Putinas"
"33","nica 1931 m kalėdoti","Putinas"
"34","i bandymų dienos i devyni kietis plieninis skambalo smūgis pažadinti liudą vasaris miegas","Putinas"
"35","krūptelėjęs atmerkė akis valandėlė negalėti susivoktas kame esantis","Putinas"
"36","būti lygus 5 valanda šaltas rudeninis rytas","Putinas"
"37","langas sroveno šėma ūkanota priešsaulėtekio šviesa","Putinas"
"38","siauras nuostabus ilgus kambarys skendėti šešėlis","Putinas"
"39","liudo kaimynas pažadintas negailestingas skambalo spurdėti lova netrukęs subarškėjo metalinis didžiulis prausyklos kranas","Putinas"
